Project_Type,Location,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level,Project_Duration_Days,Start_Year,Start_Month,Start_Quarter,Cost_Overrun_Pct,Cost_Efficiency,Schedule_Overrun_Pct,Duration_Efficiency,Risk_Composite
Tunnel,New York,42011120,41130105.52286384,-881014.4771361649,359,412.5223738700374,53.52237387003743,1.8390508867206203,2.296730050864113,72.12237311977167,4.444848680134049,44.22750685476765,Stormy,173,12854.564757657345,472.84916283089433,5633,72.10640680003621,7,2.856053236871399,75.77969026271762,0,61.9781432449462,Low,442,2020,1,1,-2.0971,1.0214,14.9087,0.8703,6.4438
Building,Chicago,27507881,39038564.55952264,11530683.559522636,303,349.4545481195073,46.45454811950731,0.6048025732459006,4.089817471745768,63.97559421582002,17.743157184336717,32.08263790315922,Sunny,192,8186.661562359402,979.4646159354965,2821,70.69050188593832,4,5.278576346774947,57.88718364427636,0,37.57152773666749,Medium,776,2020,1,1,41.9177,0.7046,15.3315,0.8671,19.0305
Dam,Seattle,43428797,43184029.03894536,-244767.96105463803,560,767.7814774716009,207.78147747160085,1.80204988996437,4.649608815728324,299.3815649519595,30.92271981757178,20.18425089057117,Sunny,85,23009.859299246506,623.9092337378524,2185,55.94070793017024,2,5.628177711301352,69.92256521230945,1,70.0142809430036,High,837,2020,1,1,-0.5636,1.0057,37.1038,0.7294,12.6568
Road,New York,28445000,30887649.393121697,2442649.393121697,472,480.2258196762206,8.225819676220624,0.2966026209285108,2.725417064299451,392.91472446757297,17.677056395062916,51.56325571652037,Snowy,96,30961.49623698396,880.186224519261,2637,96.14798989175748,3,2.8745322276257204,97.13240542163754,0,58.59829469029783,Low,733,2020,1,1,8.5873,0.9209,1.7428,0.9829,4.2739
Tunnel,Chicago,18962327,20366057.233176406,1403730.2331764065,374,520.6648447712332,146.66484477123322,1.3474691345593397,3.307331026618259,291.8206356997348,-6.271198229453807,44.67029120771891,Stormy,231,43471.26313518969,957.9631567296608,8236,67.47515003197725,7,6.477133040772855,67.09894946678187,0,45.33304608177935,High,553,2020,1,1,7.4027,0.9311,39.2152,0.7183,16.6808
Road,New York,39516260,56225648.12564082,16709388.125640815,407,524.7240452131634,117.72404521316344,1.8232724850326631,4.516368111194571,428.3532823726016,29.79693852419895,58.84368836777863,Rainy,263,48840.91364847814,707.8191643077934,9380,47.65547435724263,5,7.506999636343742,57.63936368217336,0,26.363994518340814,High,816,2020,1,1,42.2848,0.7028,28.9248,0.7756,23.8643
Tunnel,Seattle,15226224,19849237.48517723,4623013.48517723,610,702.342937203306,92.34293720330596,0.4206239329566361,0.4927342570647119,65.04193989194974,34.32835707690246,33.162876481215,Stormy,81,24777.163065643865,594.0448106668075,2746,65.962294877593,4,4.364560773689068,79.11983021181074,0,64.11251777249589,Medium,346,2020,1,1,30.3622,0.7671,15.1382,0.8685,15.323
Dam,Seattle,34034792,46900244.186206646,12865452.186206646,615,722.5125595194476,107.51255951944756,1.9398212241885848,1.1603928893308253,215.03843439167304,5.92238258158458,80.17658833665325,Sunny,235,7720.111534337159,103.15976581958556,6797,47.62319501428024,8,6.269065271716948,80.11820870637361,1,84.63075665279965,High,638,2020,1,1,37.8009,0.7257,17.4817,0.8512,19.4386
Bridge,Los Angeles,25509968,26792628.04993433,1282660.049934331,640,674.5525275594607,34.552527559460714,0.960478384789472,3.544500031257912,156.68167602838014,26.526915660584272,38.04286509396768,Rainy,223,38710.20105616418,136.0176766651054,9089,70.1519010554245,9,5.520717146480017,59.6902121233958,0,64.00040216583531,Medium,459,2020,1,1,5.0281,0.9521,5.3988,0.9488,6.0322
Tunnel,Houston,20170135,25715398.46824597,5545263.468245968,797,1076.9610738956935,279.9610738956935,1.8968587060379465,4.118722309561498,251.2728356707049,13.462554557991634,35.8500723561355,Stormy,103,30432.796530077183,280.7660944460047,3620,73.67653089137272,2,2.75993558520492,59.82932937909801,1,64.94703001963171,Medium,879,2020,1,1,27.4924,0.7844,35.1269,0.74,19.7378
Road,New York,2500948,3108797.383830835,607849.3838308351,200,241.54496907663213,41.54496907663213,1.3859580828970892,4.285145141652889,82.56937693735512,38.90156456500936,53.64998395390492,Sunny,210,25155.11051800084,267.40758867039574,8597,60.26534568961512,6,7.5700988989712,99.47748956624136,0,56.06536277329914,High,481,2020,1,1,24.3048,0.8045,20.7725,0.828,16.2372
Dam,New York,7327090,10255714.875276944,2928624.875276944,243,265.4805923329272,22.480592332927188,0.6730150527597479,2.0755358842746627,479.3592387069826,36.48740569884069,54.9195716620992,Rainy,299,18917.099545648536,329.2829156798608,9002,44.29903685388908,8,8.213077250416426,62.1640536431106,0,44.94161055954625,High,710,2020,1,1,39.9698,0.7144,9.2513,0.9153,18.0089
Tunnel,Chicago,21885050,31594401.373791244,9709351.373791244,344,432.6247438930601,88.6247438930601,0.4577747973425021,0.4466995114593342,150.46493048121243,18.898759907030325,35.055966014956496,Rainy,282,27607.933752959107,374.44117392789474,7107,96.61021213799437,3,6.839138040284508,91.9096017391792,0,51.17122374701916,High,759,2020,1,1,44.3652,0.6927,25.763,0.7951,23.0063
Bridge,Seattle,32834022,29790113.221282497,-3043908.778717503,206,308.4727782735435,102.4727782735435,0.6770965878276888,2.1889073864981,465.0384989676131,28.0328050197477,39.0302508708141,Sunny,216,20240.582200566398,424.0589441956554,3793,86.40118680900578,9,3.9150642499394617,73.51619127729897,1,99.05875814080738,Medium,397,2020,1,1,-9.2706,1.1022,49.7441,0.6678,17.5062
Bridge,New York,40391628,52687322.301127724,12295694.301127724,490,568.9671102190268,78.96711021902684,0.2767330775990825,1.153672951035269,241.6519197665068,38.58423355621572,31.879366740867145,Rainy,72,39065.53404863121,478.4839210619889,3500,90.33286483030726,9,9.34113244968371,71.7494619456364,1,77.4701651894761,High,281,2020,1,1,30.4412,0.7666,16.1157,0.8612,17.6353
Building,Seattle,16226559,15108573.091637058,-1117985.9083629418,464,673.9204859767677,209.9204859767677,0.3733491360523265,1.4559822749831208,493.4858599648481,17.26443555430515,70.29221248262166,Sunny,220,29475.21634216885,188.9797046104132,9361,62.01210365717377,2,5.098225491956119,64.74812080818762,0,48.7503517581995,Medium,733,2020,1,1,-6.8899,1.074,45.2415,0.6885,14.9921
Building,New York,37257426,45801120.05914702,8543694.059147023,839,928.7814772180268,89.78147721802668,0.2988548366583141,3.861337784187529,299.32627255709485,7.228790726885208,73.90623218778573,Cloudy,232,44458.14983693504,138.12573875750385,5925,85.64986180116703,0,3.3929063684658805,88.69128984461653,0,51.15667599590684,Medium,467,2020,1,1,22.9315,0.8135,10.701,0.9033,10.7683
Road,Los Angeles,28870540,30965953.325498804,2095413.3254988045,460,429.1062271112961,-30.893772888703893,0.9035927331089596,0.3776354301294343,468.8747888791133,31.45163758502697,52.36299482214978,Cloudy,51,29459.47615922489,706.5500041657211,2080,69.12237371015166,8,4.674111587397609,94.03304392207774,0,54.9668806974768,Medium,346,2020,1,1,7.258,0.9323,-6.716,1.072,4.7122
Tunnel,Houston,33434302,36244988.68497379,2810686.6849737912,343,350.73302549062265,7.733025490622651,1.6115989148894143,4.13790608740351,52.40704491240028,2.103644013158048,69.98609158795122,Rainy,243,15721.808600296852,583.6013423587699,5864,52.06500930436276,0,7.228675827173888,63.056373077954014,0,69.33827749409316,High,800,2020,1,1,8.4066,0.9225,2.2545,0.978,4.6441
Tunnel,New York,40112237,44595786.38498775,4483549.384987749,403,463.9404856566341,60.94048565663411,0.3686287530110463,2.138345429120845,386.707462781405,11.369213140332311,71.5154774356212,Rainy,215,43299.1347004465,499.7297819981077,5453,47.4654026144328,1,8.613386070933242,54.7548334674557,0,51.936241079396325,High,215,2020,1,1,11.1775,0.8995,15.1217,0.8686,9.8124
Building,Seattle,39456876,50219743.87313207,10762867.873132072,325,335.32881107594096,10.328811075940962,0.3476088230274382,2.980319655502975,456.372793896132,37.61499804087365,29.6792869374466,Sunny,296,30074.857021851974,670.9959470515171,3248,60.70305215932341,8,4.209179493545854,56.845977644280495,0,71.7561206595319,Medium,532,2020,1,1,27.2775,0.7857,3.1781,0.9692,11.5785
Tunnel,Los Angeles,17969728,19774427.412886277,1804699.412886273,209,188.12847059256924,-20.87152940743076,1.3225150040829283,0.448261156178395,112.87425514052931,29.843228714812327,87.63246173841758,Rainy,292,14307.846716460255,844.9114664831865,2325,48.25312668850838,4,3.0936200140843724,89.6401767383122,0,39.62690259830631,Medium,855,2020,2,1,10.043,0.9087,-9.9864,1.1109,4.4316
Tunnel,New York,48718418,65264139.36891625,16545721.36891625,224,324.5762066732677,100.57620667326768,0.4746476657393259,1.686795391786398,93.25663327946816,12.209605288612458,77.47223629675017,Snowy,206,33057.85144802999,484.92361820458416,4873,99.89613857224413,3,6.638438186516844,71.79134556598129,0,46.95756688190116,High,252,2020,2,1,33.9619,0.7465,44.9001,0.6901,25.5863
Bridge,Chicago,21491595,24558798.74229747,3067203.7422974706,650,914.1129703800624,264.1129703800624,0.285459072407084,0.4485045950742289,241.05767323368,1.8109476324596567,34.31384228370764,Cloudy,293,21097.25442240924,677.0075185467814,2688,42.951339413921325,8,9.290935900956567,56.59573292053614,0,87.76478122334625,High,827,2020,2,1,14.2716,0.8751,40.6328,0.7111,19.9295
Building,Houston,32175239,30277283.43383268,-1897955.566167321,213,286.56494718403184,73.56494718403184,0.4170122985905975,4.807718614405548,470.1555077598208,9.57826149577301,33.03155250222492,Rainy,159,42998.25255314296,958.2150014516428,3985,66.4686159621446,8,2.6496402720347945,67.01441032098123,1,39.60150892313884,Medium,532,2020,2,1,-5.8988,1.0627,34.5375,0.7433,12.4912
Dam,New York,6845447,9380014.177471982,2534567.1774719823,832,832.5730461464976,0.5730461464976315,1.8550896521658744,4.036308246631252,294.07395208569744,5.625728207508814,28.79628019057079,Rainy,173,25398.488239094426,855.6620462754047,3076,67.12561134342305,1,8.227174440694299,75.71177414265264,0,96.79930598575017,High,249,2020,2,1,37.0256,0.7298,0.0689,0.9993,12.9738
Building,Los Angeles,47847988,51266965.73160714,3418977.731607139,606,589.164196309951,-16.835803690049033,1.6607953802747626,2.298163771782301,287.3554086747795,-0.3150891630880341,29.68649937793429,Stormy,116,37689.86111483375,483.4007294521685,2461,58.037915714900535,2,5.289464633387357,92.60258419225042,0,25.525445228640365,Medium,604,2020,2,1,7.1455,0.9333,-2.7782,1.0286,3.6015
Dam,Chicago,36103852,41868197.62293216,5764345.622932158,400,376.225139873372,-23.774860126628028,0.7727226684746787,1.1180127416183554,113.50675323469484,30.883310246111115,72.37132593200873,Rainy,280,9299.129343630671,680.2451540332687,1072,74.28109394241672,2,8.195612535658825,82.08716271125874,0,31.751183413645546,High,887,2020,2,1,15.966,0.8623,-5.9437,1.0632,6.8289
Bridge,Los Angeles,12737532,16702296.83804594,3964764.83804594,713,951.4396869570558,238.43968695705576,1.3460594579220464,4.667275526249261,50.35527999194846,3.863843776759433,52.87579798661365,Snowy,120,22821.095583605576,259.3638297243458,7030,48.99862144909268,4,5.549870347959618,58.80164005400004,0,51.73117756794171,High,740,2020,2,1,31.1266,0.7626,33.4418,0.7494,21.2805
Road,Los Angeles,49491820,54414954.17249746,4923134.172497459,871,1269.2950402554886,398.29504025548863,1.1208237799692724,1.722982978634859,414.5630408354576,14.97921085922701,74.80539209179071,Cloudy,213,49245.86464125794,604.4699664055809,5611,87.03474283523403,2,4.3959499687199735,57.93513561791682,0,81.76678534498326,Medium,821,2020,2,1,9.9474,0.9095,45.7285,0.6862,17.982
Tunnel,Chicago,9312934,8697827.688624633,-615106.3113753665,546,632.4435349311109,86.44353493111089,1.3865361006168715,0.8049221584368738,89.4085533438072,11.222269575985996,72.23784260451438,Stormy,78,41380.71302647168,983.1954620245986,3796,59.9468630948583,9,7.270669001886857,70.61671078166613,1,75.84179298655003,High,696,2020,2,1,-6.6049,1.0707,15.8321,0.8633,8.0038
Bridge,Los Angeles,4900379,5509754.007863763,609375.0078637628,729,708.2121299310716,-20.78787006892844,1.3970751896792428,2.8158219422697743,335.2324184308958,44.0142558249597,62.32288994536551,Sunny,168,12197.33610651179,566.4836036822701,8717,75.48055538791851,5,9.105645651354076,53.759642385087815,0,25.701941585295074,High,607,2020,2,1,12.4353,0.8894,-2.8516,1.0294,6.5517
Tunnel,Chicago,38358841,56259728.70974768,17900887.70974768,761,918.85856194628,157.8585619462799,1.2945946286139869,4.71887060172408,461.5774045318362,11.510073428152127,68.04566246050757,Sunny,214,17499.38222647648,934.8744692711324,5516,82.93835416401757,1,3.8822655733316296,87.77885976419364,0,31.301652337105324,Medium,718,2020,2,1,46.6669,0.6818,20.7436,0.8282,21.1996
Road,New York,12353540,15874800.927842176,3521260.927842177,295,327.2432476201776,32.24324762017756,0.6055926002208862,0.0191514525016128,143.89336092129395,-5.600963446178486,21.28490070653993,Cloudy,162,19841.71139853625,466.6014284529346,3493,93.34252706140968,5,5.1467332149493465,70.07269101518861,0,61.773669014575376,Medium,339,2020,2,1,28.5041,0.7782,10.9299,0.9015,13.8595
Road,Chicago,7722055,10060968.85041681,2338913.8504168093,418,470.2060910269794,52.20609102697944,0.1741121994493544,1.1906242162699936,349.37277630660986,-5.0595836085353785,41.82443527635154,Sunny,299,34266.450222295054,998.960344466168,5231,90.147246187132,5,3.0646056402687023,67.15118863906952,0,36.56482707688326,Medium,328,2020,2,1,30.2887,0.7675,12.4895,0.889,14.4464
Bridge,Chicago,16056024,20541584.060146578,4485560.060146578,514,654.2183644896202,140.21836448962017,0.9655768857812068,4.692238202052038,85.41435951837926,22.491454674418563,64.64755254815871,Snowy,277,39064.7641770345,621.298031704802,4576,76.49854168621357,1,2.650685172556157,75.45541661957179,1,48.00927920316431,Medium,409,2020,2,1,27.9369,0.7816,27.2798,0.7857,17.2951
Road,Houston,49968538,50937691.95437754,969153.9543775396,620,825.3631381335393,205.3631381335393,1.7928503809123373,0.8554298342858102,321.6898147269258,22.964995345604606,20.65414674403709,Rainy,264,38728.69739635594,138.0420948123411,9100,63.30359082303322,5,8.001011281529577,85.44784018814238,0,53.7934757938326,High,891,2020,2,1,1.9395,0.981,33.1231,0.7512,13.119
Dam,Chicago,10035949,11551380.49506205,1515431.4950620497,327,316.0004260989142,-10.999573901085796,1.1820447911852945,0.5662172581990993,123.76927442894124,13.031744476546024,22.30838605778154,Cloudy,94,27944.332533788125,628.0793170222493,6728,70.19228020449783,5,2.805977050195982,78.4673472246526,0,63.48214048153642,Low,741,2020,2,1,15.1,0.8688,-3.3638,1.0348,6.0912
Road,Chicago,19298198,26063449.14893724,6765251.1489372365,188,173.21457803497054,-14.785421965029457,1.6815429792336252,2.8509360789990223,381.1791022318301,13.751403077161632,79.63215877292683,Stormy,65,41486.92420271681,347.11542611163696,1032,86.12408760272815,5,8.13986354201005,90.12013908609936,0,32.59461919953388,High,246,2020,2,1,35.0564,0.7404,-7.8646,1.0854,13.1449
Tunnel,New York,33672748,32353575.620002408,-1319172.3799975924,467,698.9113508125373,231.9113508125373,1.9840862516263336,4.309219116474149,185.5540826572587,-7.033707943752083,67.88174031844503,Rainy,289,24668.513724086377,129.23318983230524,5373,92.65273255356838,4,4.862953466562381,81.46812819350588,0,24.68261291994636,Medium,560,2020,2,1,-3.9176,1.0408,49.6598,0.6682,16.6705
Tunnel,Houston,7281646,7767416.733361529,485770.7333615292,567,589.4741843010706,22.47418430107064,0.4108707878627249,2.385549088469631,258.5259539620908,18.410058071409424,38.57588131842408,Sunny,80,10574.625438300283,838.767974225197,4598,46.22691569060032,6,9.955438510669442,89.39851337041318,0,45.87070490146238,High,237,2020,2,1,6.6712,0.9375,3.9637,0.9619,6.3816
Tunnel,Seattle,40980720,43676901.60881326,2696181.6088132635,229,213.49631412242223,-15.503685877577738,1.4143775143697663,4.972821283422624,319.7437439124297,17.760671145919343,68.15739880830964,Sunny,211,30399.8828744216,348.15667328268034,3392,63.09137574958321,4,2.7760727637216034,84.83911367823374,1,17.382360237004008,Medium,438,2020,2,1,6.5791,0.9383,-6.7702,1.0726,3.3289
Tunnel,New York,44144878,51173243.91141018,7028365.911410183,696,705.6919374304563,9.691937430456278,1.381157790030047,3.3958584976899644,127.0730347998078,-1.774787479368051,75.47196683974843,Stormy,99,47853.56230704981,816.8936986418487,7705,86.56699590481003,0,1.836801932615434,59.65614201318682,0,57.4088653981821,Low,521,2020,2,1,15.9211,0.8627,1.3925,0.9863,5.5614
Dam,New York,29751505,44276821.79879107,14525316.798791071,817,754.3971362800172,-62.60286371998279,1.9619153499807287,0.3703745360522387,383.7370183779294,-4.288833763898984,41.47559981770709,Snowy,242,40684.71431266301,359.39582466028025,7790,65.89910575563766,8,1.6788976264314606,52.61772250928994,0,85.56446433114769,Low,309,2020,2,1,48.8221,0.6719,-7.6625,1.083,16.5824
Building,Seattle,22958593,21592591.79746642,-1366001.2025335804,766,869.4762871660522,103.4762871660522,1.9726413945103207,4.9641606584098765,186.18815328656652,-3.2035130170280226,22.522616424943124,Stormy,259,31041.529146150908,274.8937184863969,3677,59.93366584397703,2,8.518762042517807,95.16984002516908,0,20.70780934894467,High,351,2020,2,1,-5.9498,1.0633,13.5087,0.881,6.1564
Bridge,Chicago,39835523,48249605.93506263,8414082.935062632,856,1182.5135564942002,326.5135564942002,1.404689362275846,2.039471183900952,348.06733696073906,-4.443446442980782,85.29453872814142,Cloudy,171,34106.254715709365,976.5420166939848,2401,64.67936180939617,1,4.939986799525091,97.2828082691042,1,20.14574789165761,High,793,2020,2,1,21.1221,0.8256,38.1441,0.7239,18.9679
Tunnel,Los Angeles,38962717,39259566.50702205,296849.507022053,457,504.86922812356704,47.86922812356704,0.5628681047661691,1.4370126692274128,121.22737281471814,23.53395075452179,44.162588680694135,Stormy,239,46875.29121660077,425.4807949795176,1817,76.17068480718105,9,1.0281191468263446,86.34661483157362,0,17.219601898061693,Low,388,2020,2,1,0.7619,0.9924,10.4747,0.9052,5.3766
Road,Houston,15945952,23638373.76037776,7692421.760377761,479,558.7583111368426,79.75831113684262,1.6172560924481385,2.789395917889428,359.6529466428576,0.806545882160524,27.453723429929447,Sunny,281,24275.42574957322,641.2385902988444,7203,99.9883086480281,5,8.872942262530024,86.21029113479744,0,86.30751607857118,High,533,2020,2,1,48.2406,0.6746,16.651,0.8573,22.2421
Tunnel,Los Angeles,14363838,13903938.112042518,-459899.88795748167,768,1002.5103852598758,234.51038525987576,0.3033553550009724,1.5215379591043217,107.6846327647078,3.8286583703104906,54.42998099752032,Snowy,220,19912.736252418683,648.9833435330244,5562,69.5795457462719,7,8.892289062192742,63.50735402470548,0,17.26344054353467,High,650,2020,2,1,-3.2018,1.0331,30.5352,0.7661,12.339
Road,Seattle,28550115,32608816.51892322,4058701.5189232193,828,998.0185740107164,170.01857401071652,1.5833286779260944,0.4322875356007616,241.41042332149263,-0.4535320716708142,73.79274569648936,Snowy,233,48975.870425020206,604.4261339561516,5723,52.50966849725563,1,8.257750066169118,77.12208544409164,0,98.51158318459623,High,295,2020,2,1,14.2161,0.8755,20.5336,0.8296,12.2765
Road,New York,42566801,57155762.88620561,14588961.886205614,797,1129.2433270553972,332.24332705539723,1.8293726358749232,0.0071417153958835,161.2427331824946,42.68094174466767,35.51531202322914,Stormy,297,43854.94100796501,923.2261691690932,3438,49.77079451674568,3,3.2348663472235826,99.6119831852304,0,42.24981646415062,Medium,443,2020,3,1,34.2731,0.7448,41.6867,0.7058,24.0349
Tunnel,New York,12044590,15931772.530965053,3887182.530965053,786,1115.8224243515788,329.8224243515788,0.8273834500600269,2.247916764601312,386.7688622426821,37.00396047335094,38.86430350933544,Cloudy,64,19536.961307837108,706.9969642301817,7828,42.540984848584856,1,4.354774480604558,92.80717990350098,1,39.588594322822914,High,841,2020,3,1,32.2733,0.756,41.9621,0.7044,23.3416
Dam,Houston,12633575,14574561.863308355,1940986.8633083552,314,284.4671750305333,-29.532824969466677,1.2982070604678528,4.184317111132962,167.91575202809355,2.6772160543336483,36.99004907590082,Sunny,225,25870.12688124153,463.35970369443714,2210,73.52903409509929,8,7.7043360267593535,65.21971762759983,0,18.24685768873443,High,621,2020,3,1,15.3637,0.8668,-9.4054,1.1038,7.75
Road,New York,6059667,6713592.939147326,653925.9391473262,759,1037.4222879724489,278.4222879724489,0.91727119098397,2.8615759281503825,446.7727878779283,8.016146165716929,89.41711369821748,Rainy,98,23678.51580535096,876.1423460718466,7641,72.67432548933004,9,5.404178128668267,65.05229328489452,0,62.70770913745751,Medium,727,2020,3,1,10.7915,0.9026,36.6828,0.7316,17.1231
Road,New York,42645168,48554399.209360056,5909231.209360056,326,383.5194922072714,57.51949220727141,0.931753604477444,4.996036494717204,451.31909513297575,1.5441063267748447,33.81826136113798,Snowy,258,11709.305540214526,262.956609204368,1599,52.31403560681855,1,2.3844391905119724,74.17886455740296,1,62.729399111751256,Medium,632,2020,3,1,13.8567,0.8783,17.644,0.85,10.1271
Tunnel,Houston,37540128,39738694.04780221,2198566.04780221,669,999.0205932792904,330.0205932792903,0.689704689305428,1.4342332282359995,138.39859185025364,17.053177770345307,60.28641518762868,Stormy,221,48101.86957159666,589.8130818493757,6480,81.71976438715402,9,3.1851843807490514,70.22993330838922,0,54.44252445611285,Medium,656,2020,3,1,5.8566,0.9447,49.3304,0.6697,18.9931
Road,Houston,9826233,10054199.27898464,227966.2789846398,657,781.7900843100965,124.79008431009652,1.5480462788556169,1.4022753238002768,326.2306752534759,-8.921420713916053,84.7685249159875,Cloudy,59,23194.059404889147,955.4953347493808,2846,84.46642249778085,1,9.753305830764017,68.55765231400873,0,37.99181324942954,High,466,2020,3,1,2.32,0.9773,18.9939,0.8404,8.5448
Road,Seattle,37855538,45041420.77586944,7185882.775869444,338,504.3424977247467,166.3424977247467,1.87873547191636,0.798747301169721,89.47293877398394,26.92524048932376,30.282759821444547,Cloudy,69,44389.80871870586,662.8578668923715,7592,55.54589232292668,4,2.359118056843956,81.34859544030516,0,43.17228010588792,Low,482,2020,3,1,18.9824,0.8405,49.2138,0.6702,21.7307
Tunnel,New York,48336078,51290391.347350106,2954313.3473501056,563,761.5935302152978,198.59353021529785,1.887426632545476,0.8203179413266759,226.19169482073315,18.77369823997029,87.95979385073902,Sunny,119,13521.030245629929,835.2716054273886,8861,60.6459858417842,4,7.534726810103696,50.57462348167688,1,38.84530543063642,High,490,2020,3,1,6.112,0.9424,35.2742,0.7392,14.7228
Tunnel,New York,19149286,20537168.78109216,1387882.7810921597,342,358.81372232265045,16.81372232265045,0.4320844412623742,1.4259329800502392,370.9947782755725,39.42514105656068,86.32340640769372,Snowy,57,29654.18647867489,688.2046529906736,2887,99.4283003408354,6,5.302164759935851,88.16698180166384,0,48.35317674524517,Medium,387,2020,3,1,7.2477,0.9324,4.9163,0.9531,5.9096
Bridge,Seattle,28596545,37005463.09390382,8408918.093903817,620,758.2829322947483,138.28293229474832,1.7620129343474755,3.964200226367636,346.74046108246233,-0.9584023619372228,81.92003909407838,Sunny,222,6078.262330592142,855.4337771841014,1679,62.45586807104405,0,7.737414935969437,87.00264983378925,0,40.760929493310336,High,797,2020,3,1,29.4054,0.7728,22.3037,0.8176,17.0602
